raceId,round,circuitId,name,date,time,url
1,1,1,Australian Grand Prix,29 March 2009,6:00:00,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix
2,2,2,Malaysian Grand Prix,5 April 2009,9:00:00,http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix
3,3,17,Chinese Grand Prix,19 April 2009,7:00:00,http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix
4,4,3,Bahrain Grand Prix,26 April 2009,12:00:00,http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix
5,5,4,Spanish Grand Prix,10 May 2009,12:00:00,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix
6,6,6,Monaco Grand Prix,24 May 2009,12:00:00,http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix
7,7,5,Turkish Grand Prix,7 June 2009,12:00:00,http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix
8,8,9,British Grand Prix,21 June 2009,12:00:00,http://en.wikipedia.org/wiki/2009_British_Grand_Prix
9,9,20,German Grand Prix,12 July 2009,12:00:00,http://en.wikipedia.org/wiki/2009_German_Grand_Prix
10,10,11,Hungarian Grand Prix,26 July 2009,12:00:00,http://en.wikipedia.org/wiki/2009_Hungarian_Grand_Prix
11,11,12,European Grand Prix,23 August 2009,12:00:00,http://en.wikipedia.org/wiki/2009_European_Grand_Prix
12,12,13,Belgian Grand Prix,30 August 2009,12:00:00,http://en.wikipedia.org/wiki/2009_Belgian_Grand_Prix
13,13,14,Italian Grand Prix,13 September 2009 (2009-09-13),12:00:00,http://en.wikipedia.org/wiki/2009_Italian_Grand_Prix
14,14,15,Singapore Grand Prix,27 September 2009,12:00:00,http://en.wikipedia.org/wiki/2009_Singapore_Grand_Prix
15,15,22,Japanese Grand Prix,4 October 2009,5:00:00,http://en.wikipedia.org/wiki/2009_Japanese_Grand_Prix
16,16,18,Brazilian Grand Prix,18 October 2009 (2009-10-18),16:00:00,http://en.wikipedia.org/wiki/2009_Brazilian_Grand_Prix
17,17,24,Abu Dhabi Grand Prix,1 November 2009,11:00:00,http://en.wikipedia.org/wiki/2009_Abu_Dhabi_Grand_Prix
18,1,1,Australian Grand Prix,16 March 2008,4:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix
19,2,2,Malaysian Grand Prix,23 March 2008,7:00:00,http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix
20,3,3,Bahrain Grand Prix,6 April 2008,11:30:00,http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix
21,4,4,Spanish Grand Prix,27 April 2008,12:00:00,http://en.wikipedia.org/wiki/2008_Spanish_Grand_Prix
22,5,5,Turkish Grand Prix,11 May 2008,12:00:00,http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix
23,6,6,Monaco Grand Prix,25 May 2008,12:00:00,http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix
24,7,7,Canadian Grand Prix,"June 8, 2008",17:00:00,http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix
25,8,8,French Grand Prix,22 June 2008,12:00:00,http://en.wikipedia.org/wiki/2008_French_Grand_Prix
26,9,9,British Grand Prix,6 July 2008,12:00:00,http://en.wikipedia.org/wiki/2008_British_Grand_Prix
27,10,10,German Grand Prix,20 July 2008,12:00:00,http://en.wikipedia.org/wiki/2008_German_Grand_Prix
28,11,11,Hungarian Grand Prix,3 August 2008,12:00:00,http://en.wikipedia.org/wiki/2008_Hungarian_Grand_Prix
29,12,12,European Grand Prix,24 August 2008,12:00:00,http://en.wikipedia.org/wiki/2008_European_Grand_Prix
30,13,13,Belgian Grand Prix,7 September 2008,12:00:00,http://en.wikipedia.org/wiki/2008_Belgian_Grand_Prix
31,14,14,Italian Grand Prix,14 September 2008,12:00:00,http://en.wikipedia.org/wiki/2008_Italian_Grand_Prix
32,15,15,Singapore Grand Prix,"September 28, 2008",12:00:00,http://en.wikipedia.org/wiki/2008_Singapore_Grand_Prix
33,16,16,Japanese Grand Prix,12 October 2008,4:30:00,http://en.wikipedia.org/wiki/2008_Japanese_Grand_Prix
34,17,17,Chinese Grand Prix,19 October 2008,7:00:00,http://en.wikipedia.org/wiki/2008_Chinese_Grand_Prix
35,18,18,Brazilian Grand Prix,2 November 2008 (2008-11-02),17:00:00,http://en.wikipedia.org/wiki/2008_Brazilian_Grand_Prix
36,1,1,Australian Grand Prix,18 March 2007,3:00:00,http://en.wikipedia.org/wiki/2007_Australian_Grand_Prix
